เลขทะเบียน,ประกอบธุรกิจ,หมวดธุรกิจ,สถานะ,วันที่จดทะเบียน,ทุนจดทะเบียน,Website,ก่อตั้งโดย,ที่ตั้ง,ชื่อบริษัทภาษาอังกฤษ,ชื่อบริษัทภาษาไทย,ข้อมูลสำหรับการติดต่อ,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,หลักทรัพย์,วันที่เลิก,เบอร์โทร,ข้อมูลสำหรับติดต่อ,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน,ธุรกิจ
'0105556039606,ประกอบกิจการผลิตและจำหน่ายขนม,การผลิตผลิตภัณฑ์อาหารอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,4/3/2556,50000000,,,41/24 ถนนริมคลองบางสะแก แขวงบางค้อ เขตจอมทอง กรุงเทพมหานคร 10150,ORAPAT FOOD COMPANY LIMITED,บริษัท อรภัทร ฟู้ด จำกัด,False,https://www.dataforthai.com/company/0105556039606/,,,,,,,,,,,,,
'0105546063482,ประกอบกิจการผลิตและจำหน่ายขนมขบเคี้ยว/ขนมกรุบกรอบ,การผลิตขนมขบเคี้ยว/ขนมกรุบกรอบ,ยังดำเนินกิจการอยู่,3/6/2546,100000000,,,168/9 นิคมอุตสาหกรรมลาดกระบัง ซอยฉลองกรุง 31 แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520,"SNACK TO GO (ASIA) CO., LTD.",บริษัท สแน็คทูโก (เอเชีย) จำกัด,True,https://www.dataforthai.com/company/0105546063482/,ดูตำแหน่งงานจาก JOBTHAI,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105528005972,ผลิตและจำหน่ายขนมขบเคี้ยว,การผลิตขนมขบเคี้ยว/ขนมกรุบกรอบ,ยังดำเนินกิจการอยู่,14/2/2528,60000000,,,6/1 ถนนประมวล แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,HANAMI FOODS COMPANY LIMITED,บริษัท ฮานามิ ฟู้ดส์ จำกัด,True,https://www.dataforthai.com/company/0105528005972/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0715547000799,การผลิตและจำหน่ายขนม,การผลิตขนมไทยและขนมพื้นเมือง (ยกเว้นขนมอบ),ยังดำเนินกิจการอยู่,5/11/2547,125000000,,,208-209 หมู่ที่ 3 ตำบลวังขนาย อำเภอท่าม่วง จ.กาญจนบุรี 71110,SRIFA FROZEN FOOD COMPANY LIMITED,บริษัท ศรีฟ้าโฟรเซนฟู้ด จำกัด,True,https://www.dataforthai.com/company/0715547000799/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,srifabakery.co.th,,,,,
'0305549000676,โรงงานผลิตเครื่องดื่มให้พลังงานและเกลือแร่,การผลิตเครื่องดื่มให้พลังงานรวมถึงเครื่องดื่มเกลือแร่,ยังดำเนินกิจการอยู่,28/3/2549,400000000,,,555 หมู่ที่ 5 ตำบลโป่งแดง อำเภอขามทะเลสอ จ.นครราชสีมา 30280,TERA FOOD & BEVERAGE COMPANY LIMITED,บริษัท เทรา ฟู้ด แอนด์ เบฟเวอเรจ จำกัด,False,https://www.dataforthai.com/company/0305549000676/,,,,,,,,,,,,,
'0105545131824,โรงงานผลิตและจำหน่ายน้ำซุปเข้มข้นและน้ำมันที่สกัดจากกระดูกสัตว์,การผลิตซุปน้ำซุปและอาหารพิเศษ,ยังดำเนินกิจการอยู่,17/12/2545,140000000,,,323 หมู่ที่ 6 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,BETAGRO-DAINIPPON TECHNO-EX COMPANY LIMITED,บริษัท เบทาโกร ไดนิปปอน เทคโนเอ็กซ์ จำกัด,True,https://www.dataforthai.com/company/0105545131824/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105563146544,ผลิตผลิตภัณฑ์อาหารอื่นๆ,การผลิตซุปน้ำซุปและอาหารพิเศษ,ยังดำเนินกิจการอยู่,5/10/2563,200000000,,,57 อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้นที่ 20 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,"FOOD AND BEVERAGE UNITED CO., LTD.",บริษัท ฟู้ด แอนด์ เบฟเวอเรจ ยูไนเต็ด จำกัด,False,https://www.dataforthai.com/company/0105563146544/,,,,,,,,,,,,,
'0125536000194,ผลิตและจำหน่ายอาหารพร้อมปรุง,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,14/1/2536,40000000,,,61/259-260 หมู่ที่ 6 ซอย 2 ถนนตลิ่งชัน-สุพรรณบุรี ตำบลเสาธงหิน อำเภอบางใหญ่ จ.นนทบุรี 11140,K.SANTHAI FOOD COMPANY LIMITED,บริษัท ก.แสนไทย ฟู๊ด จำกัด,False,https://www.dataforthai.com/company/0125536000194/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,,,,,,
'0105546024291,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็นที่พักอาศัย,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของ ตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็นที่พักอาศัย,ยังดำเนินกิจการอยู่,25/2/2546,50000000,,,325/11 ถนนหลานหลวง แขวงสี่แยกมหานาค เขตดุสิต กรุงเทพมหานคร 10300,"KIM HENG FOODS CO.,LTD.",บริษัท กิมเฮง เดลี่ฟู้ดส์ จำกัด,True,https://www.dataforthai.com/company/0105546024291/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105537040874,ผลิตอาหารสำเร็จรูปทุกชนิดจำหน่ายทั้งในประเทศและต่างประเทศ,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,4/4/2537,263000000,,,1023 อาคารเอ็มเอส สยาม ชั้น 23 ถนนพระราม 3 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,"KEWPIE (THAILAND) CO.,LTD.",บริษัท คิวพี (ประเทศไทย) จำกัด,True,https://www.dataforthai.com/company/0105537040874/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,http://www.kpthai.com/,,,,,
'0105538123684,ประกอบกิจการจำหน่ายอาหารปรุงเพื่อบริโภคทันที เครื่องดื่มทุกชนิด,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,16/10/2538,40000000,,,199 ถนนพุทธมณฑลสาย 1 แขวงคลองขวาง เขตภาษีเจริญ กรุงเทพมหานคร 10160,S.SINSUP LAND & HOUSE COMPANY LIMITED,บริษัท เฉลิมพระเกียรติ อุตสาหกรรม จำกัด,False,https://www.dataforthai.com/company/0105538123684/,,,,,,,,,,,,,
'0105516001721,ผลิตภัณฑ์อาหารสำเร็จรูป,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,14/2/2516,30000000,,,112 ถนนสาทรเหนือ แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,SUN YANG FOOD COMPANY LIMITED,บริษัท ซันยางอุตสาหกรรมอาหาร จำกัด,True,https://www.dataforthai.com/company/0105516001721/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,www.shopee.co.th/taotong_official_shop,,,,,
'0105529001083,การผลิตอาหารพร้อมปรุงและอาหารสำเร็จรูปที่เน่าเสียง่าย,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,9/1/2529,128000000,,,99/1 หมู่ที่ 2 ถนนพระประโทน-บ้านแพ้ว ตำบลตลาดจินดา อำเภอสามพราน จ.นครปฐม 73110,"CITY FOOD CO., LTD.",บริษัท ซิตี้ฟูด จำกัด,True,https://www.dataforthai.com/company/0105529001083/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,http://www.cityfoods.co.th,,,,,
'0105534090609,ผลิตอาหารกึ่งสำเร็จรูปและอาหารสำเร็จรูป,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,23/9/2534,86000000,,,118 หมู่ที่ 6 ซอยสุขสวัสดิ์ 76 ถนนสุขสวัสดิ์ ตำบลบางจาก อำเภอพระประแดง จ.สมุทรปราการ 10130,DO FOOD COMPANY LIMITED,บริษัท ดูฟู้ด จำกัด,True,https://www.dataforthai.com/company/0105534090609/,ดูตำแหน่งงานจาก JOBTHAI,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0107558000041,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย (Manufacture of perishable prepared foods),การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,30/1/2558,735000000,,,108/45 ซอยแจ้งวัฒนะ 20 ถนนแจ้งวัฒนะ ตำบลปากเกร็ด อำเภอปากเกร็ด จ.นนทบุรี 11120,THAI COCONUT PUBLIC COMPANY LIMITED,บริษัท ไทย โคโคนัท จำกัด (มหาชน),True,https://www.dataforthai.com/company/0107558000041/,,,COCOCO,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,https://www.thaicoconut.com,,,,,
'0545551000082,โรงงานผลิตและจำหน่ายก๋วยเตี๋ยว,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,15/5/2551,76100000,,,144 หมู่ที่ 10 ตำบลป่าแดง อำเภอเมืองแพร่ จ.แพร่ 54000,"NINETY NINE NOODLE CO.,LTD.",บริษัท ไนน์ตี้ไนน์ นูดเดิ้ล จำกัด,False,https://www.dataforthai.com/company/0545551000082/,,,,,,,,,,,,,
'0745540001200,ผลิตและจำหน่ายอาหารสำเร็จรูปและอาหารขบเคี้ยวที่ผลิตจากเนื้อปลา,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,23/8/2539,104000000,,,88 หมู่ที่ 4 ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,BIG KITCHEN COMPANY LIMITED,บริษัท บิ๊ก คิทเช่น จำกัด,True,https://www.dataforthai.com/company/0745540001200/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105528010127,,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,19/3/2528,205000000,,,59/3 ซอยสุขุมวิท 39 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,B.B. DEVELOPMENT COMPANY LIMITED,บริษัท บี.บี.ดีเวลลอบเม้นต์ จำกัด,True,https://www.dataforthai.com/company/0105528010127/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0103533024422,ผลิตและจำหน่าย,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,31/8/2533,50000000,,,523 ซอยรามอินทรา 5 ถนนรามอินทรา แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร,"FLOWER FOOD LTD., PART.",ห้างหุ้นส่วนจำกัด ฟลาวเวอร์ ฟูด,True,https://www.dataforthai.com/company/0103533024422/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,www.flowerfoodth.com,,,,,
'0735543001154,ผลิตอาหารสำเร็จรูป,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,10/7/2543,67000000,,,58 หมู่ที่ 6 ถนนพระประโทน-บ้านแพ้ว ตำบลตลาดจินดา อำเภอสามพราน จ.นครปฐม 73110,"FOOD MATE CO., LTD.",บริษัท ฟู้ดเมท จำกัด,True,https://www.dataforthai.com/company/0735543001154/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0115541004747,,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,1/12/2541,180000000,,,155/1 หมู่ที่ 9 ถนนเทพารักษ์ ก.ม.20 ตำบลบางปลา อำเภอบางพลี จ.สมุทรปราการ 10540,"MAWAI GROUP CO., LTD.",บริษัท มาไว กรุ๊ป จำกัด,True,https://www.dataforthai.com/company/0115541004747/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105559076260,การผลิตอาหารพร้อมปรุงและอาหารสำเร็จรูปที่เน่าเสียง่าย,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,18/5/2559,162000000,,,5 ซอยเฉลิมพระเกียรติ ร.9 ซอย 21 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,MAN FOOD PRODUCTS COMPANY LIMITED,บริษัท แมน ฟู๊ด โปรดักส์ จำกัด,True,https://www.dataforthai.com/company/0105559076260/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105522009399,ผลิตและจำหน่ายอาหารสำเร็จรูป,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,9/5/2522,60000000,,,60 ซอยลาดพร้าว 94 (ปัญจมิตร) แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,บริษัท สยามมีทโปรดักส์อุตสาหกรรม จำกัด,True,https://www.dataforthai.com/company/0105522009399/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,http://www.ezssausage.com,,,,,
'0705537000389,ประกอบกิจการผลิตและจำหน่ายอาหารสำเร็จรูป ขนมปัง ขนมเยลลี่และขนมเด็ก,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,26/5/2537,50000000,,,9/9 หมู่ที่ 12 ตำบลรางบัว อำเภอจอมบึง จ.ราชบุรี 70150,"SIAM RACHABURI INDUSTRY CO., LTD.",บริษัท สยามราชบุรีอุตสาหกรรม จำกัด,False,https://www.dataforthai.com/company/0705537000389/,,,,,,,,,,,,,
'0105526022187,ผลิตและจำหน่ายอาหารสำเร็จรูป ขนมขบเคี้ยว คุกกี้ส่งออกสินค้าสำเร็จรูป ขนมขบเคี้ยว คุกกี้,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,1/6/2526,660000000,,,9 ถนนนิมิตใหม่ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,USEFUL FOOD COMPANY LIMITED,บริษัท อาหารยอดคุณ จำกัด,True,https://www.dataforthai.com/company/0105526022187/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,www.facebook.com/yodkhunfood,,,,,
'0105548146911,ประกอบกิจการค้าและผลิตอาหารสด อาหารแห้ง อาหารสำเร็จรูป,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,8/11/2548,100000000,,,392/55 ซอยปรีชา ถนนมหาราช แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร 10200,AMPOL FOOD AND BEVERAGE COMPANY LIMITED,บริษัท อำพลฟูดส์ แอนด์ เบเวอเรจ จำกัด,False,https://www.dataforthai.com/company/0105548146911/,,,,,,,,,,,,,
'0105536035087,ผลิตอาหารสำเร็จรูปและกึ่งสำเร็จรูปจากแป้ง เช่น ข้าวเกรียบ มักกะโรนี,การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,ยังดำเนินกิจการอยู่,24/3/2536,120000000,,,139 หมู่ที่6 ถนนบ้านบึง - แกลง ตำบลวังจันทร์ อำเภอวังจันทร์ จ.ระยอง 21210,S.B.FOOD COMPANY LIMITED,บริษัท เอส. บี. ฟู้ด จำกัด,True,https://www.dataforthai.com/company/0105536035087/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0735561002388,การผลิตน้ำแข็งเพื่อบริโภค,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,26/3/2561,170000000,,,157/7 หมู่ที่ 6 ตำบลคลองใหม่ อำเภอสามพราน จ.นครปฐม 73110,KRUNGTHEP ICE COMPANY LIMITED,บริษัท กรุงเทพไอซ์ จำกัด,False,https://www.dataforthai.com/company/0735561002388/,,,,,,,,,,,,,
'0495558000224,ประกอบกิจการโรงน้ำแข็ง,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,17/6/2558,67000000,,,99/9 หมู่บ้าน คำอาฮวน หมู่ที่ 1 ตำบลคำอาฮวน อำเภอเมืองมุกดาหาร จ.มุกดาหาร 49000,KIATMUKDA PREMIUM ICE COMPANY LIMITED,บริษัท เกียรติมุกดา พรีเมี่ยมไอซ์ จำกัด,False,https://www.dataforthai.com/company/0495558000224/,,,,,,,,,,,,,
'0105547076073,ผลิตน้ำแข็งประเภทซอง น้ำแข็งเกล็ด น้ำแข็งแผ่น,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,7/6/2547,300000000,,,88 หมู่ที่ 16 นิคมอุตสาหกรรมบางปะอิน ถนนอุดมสรยุทธ ตำบลบางกระสั้น อำเภอบางปะอิน จ.พระนครศรีอยุธยา 13160,KOKUBO ROCK ICE (THAILAND) COMPANY LIMITED,บริษัท โคคุโบะ ร็อกไอซ์ (ประเทศไทย) จำกัด,True,https://www.dataforthai.com/company/0105547076073/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105554036235,ประกอบกิจการโรงงานผลิตน้ำแข็งหลอดและซองประกอบกิจการรับออกแบบตกแต่งฉาก เวที แสงสี,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,11/3/2554,34000000,,,525 หมู่ที่ 7 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ จ.สมุทรปราการ 10280,SICHOL ICE COMPANY LIMITED,บริษัท ชนะชัย หลอดและซอง จำกัด,True,https://www.dataforthai.com/company/0105554036235/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0115556001731,ประกอบกิจการโรงงานผลิตน้ำแข็งหลอดและซอง,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,23/1/2556,40000000,,,335/25 หมู่ที่ 9 ตำบลบางโฉลง อำเภอบางพลี จ.สมุทรปราการ 10540,CHAIKITIWAT NAMKHANGLOUDANDSONG COMPANY LIMITED,บริษัท ชัยกิติวัฒน์ น้ำแข็งหลอดและซอง จำกัด,True,https://www.dataforthai.com/company/0115556001731/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0115545006019,ประกอบกิจการผลิตและจำหน่ายน้ำแข็งหลอดและซอง,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,9/7/2545,40000000,,,78/2 หมู่ที่ 3 ตำบลบางครุ อำเภอพระประแดง จ.สมุทรปราการ 10130,,บริษัท ชัยนิวัฒน์ น้ำแข็งหลอดและซอง จำกัด,False,https://www.dataforthai.com/company/0115545006019/,,,,,,,,,,,,,
'0135551003468,การผลิตน้ำแข็ง,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,2/4/2551,80000000,,,99 หมู่ที่ 11 ถนนเลียบคลองสาม (ตะวันออก) ตำบลคลองสาม อำเภอคลองหลวง จ.ปทุมธานี 12120,"T.TANAWAN ICE GROUP CO.,LTD.",บริษัท ต.ธนวรรณ ไอซ์ กรุ๊ป จำกัด,True,https://www.dataforthai.com/company/0135551003468/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0105546047517,,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,21/4/2546,40000000,,,"291,291/1 ถนนเจริญพัฒนา แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510",TANGCHAROEN MINBURI COMPANY LIMITED,บริษัท ตั้งเจริญมีนบุรี จำกัด,True,https://www.dataforthai.com/company/0105546047517/,ดูตำแหน่งงานจาก JOBTHAI,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0805539000067,,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,11/1/2539,45000000,,,66/4 ถนนท่าแพใต้ ตำบลปากแพรก อำเภอทุ่งสง จ.นครศรีธรรมราช 80110,,บริษัท เตยหอมอุตสาหกรรม จำกัด,True,https://www.dataforthai.com/company/0805539000067/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,www.tueyhom.co.th/,,,,,
'0705559002279,,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,16/11/2559,30000000,,,174 หมู่ที่ 10 ตำบลเจดีย์หัก อำเภอเมืองราชบุรี จ.ราชบุรี 70000,SUB MUEANGTHONG 2016 COMPANY LIMITED,บริษัท ทรัพย์เมืองทอง 2016 จำกัด,False,https://www.dataforthai.com/company/0705559002279/,,,,,,,,,,,,,
'0855541000168,ผลิตน้ำแข็ง เพื่อจำหน่ายบริการเก็บรักษาสินค้าในห้อเย็น,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,9/10/2541,37000000,,,131/9 หมู่ที่ 5 ตำบลปากน้ำ อำเภอเมืองระนอง จ.ระนอง 85000,TEPPAMA ICE CUBE COMPANY LIMITED,บริษัท เทพพามาน้ำแข็ง จำกัด,False,https://www.dataforthai.com/company/0855541000168/,,,,,,,,,,,,,
'0345559001888,,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,4/11/2559,46000000,,,329 หมู่ที่ 4 ตำบลบุ่งไหม อำเภอวารินชำราบ จ.อุบลราชธานี 34190,TIGER UBONRATCHATHANI COMPANY LIMITED,บริษัท ไทเกอร์ อุบลราชธานี จำกัด,False,https://www.dataforthai.com/company/0345559001888/,,,,,,,,,,,,,
'0115556008808,ประกอบกิจการโรงงานน้ำแข็ง,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,23/4/2556,207000000,,,666/666 หมู่ที่ 7 ตำบลบางปลา อำเภอบางพลี จ.สมุทรปราการ 10540,TANAYOS ICE COMPANY LIMITED,บริษัท ธนยศ น้ำแข็ง จำกัด,True,https://www.dataforthai.com/company/0115556008808/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0675564001219,การผลิตน้ำแข็งเผื่อการบริโภค,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,6/9/2564,30000000,,,199 หมู่ที่ 1 ตำบลบัววัฒนา อำเภอหนองไผ่ จ.เพชรบูรณ์ 67140,TARATIP NONGPHAI COMPANY LIMITED,บริษัท ธาราทิพย์ หนองไผ่ จำกัด,False,https://www.dataforthai.com/company/0675564001219/,,,,,,,,,,,,,
'0705549000656,ประกอบกิจการผลิตน้ำแข็ง น้ำดื่ม,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,1/8/2549,60000000,,,100 หมู่ที่ 5 ตำบลบ้านสิงห์ อำเภอโพธาราม จ.ราชบุรี 70120,TARA ICE COMPANY LIMITED,บริษัท ธาราไอซ์ จำกัด,True,https://www.dataforthai.com/company/0705549000656/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0115563016306,,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,3/8/2563,40000000,,,63 หมู่ที่ 2 ตำบลสำโรงกลาง อำเภอพระประแดง จ.สมุทรปราการ 10130,THEERAWAT NAMKHAENGLOUD LAE SONG COMPANY LIMITED,บริษัท ธีรวัฒน์ น้ำแข็งหลอดและซอง จำกัด,False,https://www.dataforthai.com/company/0115563016306/,,,,,,,,,,,,,
'0745543000298,ผลิต ขายส่งและขายปลีกน้ำแข็งซองรับฝากสินค้าในห้องเย็น,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,28/1/2543,117900000,,,29/3 หมู่ที่ 4 ถนนเอกชัย ตำบลนาดี อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,,บริษัท น้ำแข็งบางหญ้า (2000) จำกัด,True,https://www.dataforthai.com/company/0745543000298/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0905000001291,ผลิตน้ำแข็งจำหน่าย,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,11/1/2521,42000000,,,420 หมู่ที่ 2 ตำบลพะวง อำเภอเมืองสงขลา จ.สงขลา 90100,SONGKHLA THAI ICE FISHERY COMPANY LIMITED,บริษัท น้ำแข็งประมงไทยสงขลา จำกัด,True,https://www.dataforthai.com/company/0905000001291/,,,,,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,,,,,,,
'0705516000088,ผลิตน้ำแข็งจำหน่าย,การผลิตน้ำแข็งเพื่อการบริโภค,ยังดำเนินกิจการอยู่,26/10/2516,127500000,,,282 หมู่ที่ 1 ถนนวิธานวิถี ตำบลบางจะเกร็ง อำเภอเมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,"SMUTSONGKRAM ICE & FISHERY CO., LTD.",บริษัท น้ำแข็งประมงสมุทรสงคราม จำกัด,False,https://www.dataforthai.com/company/0705516000088/,,,,,,,,,,,,,
